Año de referencia,Mes,Orden,Desembarque,Temporada
2022,Mar,1,37024.89,0
2022,Abr,2,26113.78,1
2022,May,3,1069431.41,1
2022,Jun,4,929291.24,1
2022,Jul,5,438031.83,1
2022,Ago,6,35295.36,0
2022,Set,7,953.49,0
2022,Oct,8,1098.58,1
2022,Nov,9,579335.1,1
2022,Dic,10,1039432.42,1
2022,Ene,11,546831.42,1
2022,Feb,12,43863.8,0
2023,Mar,1,28.29,0
2023,Abr,2,6444.44,1
2023,May,3,7620.14,1
2023,Jun,4,41534.58,1
2023,Jul,5,43.01,1
2023,Ago,6,182828.38,0
2023,Set,7,436.37,0
2023,Oct,8,247544,1
2023,Nov,9,739933,1
2023,Dic,10,,1
2023,Ene,11,,1
2023,Feb,12,,0