Trimestre,Tipo,Indicador,Valor
2022-07-01,Componente,Importación de bienes de capital,1.348044898
2022-10-01,Componente,Importación de bienes de capital,5.112986156
2023-01-01,Componente,Importación de bienes de capital,-10.16666667
2023-04-01,Componente,Importación de bienes de capital,-6.112153576
2023-07-01,Componente,Importación de bienes de capital,-5.233333333
2023-10-01,Componente,Importación de bienes de capital,4.568392979
2022-07-01,Componente,Consumo de cemento,-1.641485842
2022-10-01,Componente,Consumo de cemento,-5.074448187
2023-01-01,Componente,Consumo de cemento,-15.36608005
2023-04-01,Componente,Consumo de cemento,-12.85263882
2023-07-01,Componente,Consumo de cemento,-8.676701551
2023-10-01,Componente,Consumo de cemento,-8.48
2022-07-01,Total,Inversión privada,-0.538054336
2022-10-01,Total,Inversión privada,-4.093820381
2023-01-01,Total,Inversión privada,-12.01292875
2023-04-01,Total,Inversión privada,-8.524851522
2023-07-01,Total,Inversión privada,-6.241538576
2023-10-01,Total,Inversión privada,-3.809844234