Día,Hora,Tiempo de viaje
Domingo,12:00 a.m.,18
Domingo,1:00 a.m.,17
Domingo,2:00 a.m.,16
Domingo,3:00 a.m.,16
Domingo,4:00 a.m.,16
Domingo,5:00 a.m.,16
Domingo,6:00 a.m.,15
Domingo,7:00 a.m.,16
Domingo,8:00 a.m.,17
Domingo,9:00 a.m.,17
Domingo,10:00 a.m.,18
Domingo,11:00 a.m.,19
Domingo,12:00 p.m.,20
Domingo,1:00 p.m.,20
Domingo,2:00 p.m.,19
Domingo,3:00 p.m.,19
Domingo,4:00 p.m.,20
Domingo,5:00 p.m.,21
Domingo,6:00 p.m.,22
Domingo,7:00 p.m.,22
Domingo,8:00 p.m.,20
Domingo,9:00 p.m.,19
Domingo,10:00 p.m.,18
Domingo,11:00 p.m.,17
Lunes,12:00 a.m.,16
Lunes,1:00 a.m.,15
Lunes,2:00 a.m.,15
Lunes,3:00 a.m.,14
Lunes,4:00 a.m.,14
Lunes,5:00 a.m.,16
Lunes,6:00 a.m.,20
Lunes,7:00 a.m.,27
Lunes,8:00 a.m.,29
Lunes,9:00 a.m.,26
Lunes,10:00 a.m.,23
Lunes,11:00 a.m.,23
Lunes,12:00 p.m.,23
Lunes,1:00 p.m.,23
Lunes,2:00 p.m.,23
Lunes,3:00 p.m.,24
Lunes,4:00 p.m.,25
Lunes,5:00 p.m.,28
Lunes,6:00 p.m.,32
Lunes,7:00 p.m.,30
Lunes,8:00 p.m.,24
Lunes,9:00 p.m.,21
Lunes,10:00 p.m.,19
Lunes,11:00 p.m.,18
Martes,12:00 a.m.,16
Martes,1:00 a.m.,15
Martes,2:00 a.m.,15
Martes,3:00 a.m.,14
Martes,4:00 a.m.,14
Martes,5:00 a.m.,16
Martes,6:00 a.m.,20
Martes,7:00 a.m.,28
Martes,8:00 a.m.,31
Martes,9:00 a.m.,28
Martes,10:00 a.m.,26
Martes,11:00 a.m.,25
Martes,12:00 p.m.,25
Martes,1:00 p.m.,25
Martes,2:00 p.m.,24
Martes,3:00 p.m.,25
Martes,4:00 p.m.,26
Martes,5:00 p.m.,29
Martes,6:00 p.m.,34
Martes,7:00 p.m.,32
Martes,8:00 p.m.,26
Martes,9:00 p.m.,22
Martes,10:00 p.m.,20
Martes,11:00 p.m.,18
Miércoles,12:00 a.m.,17
Miércoles,1:00 a.m.,16
Miércoles,2:00 a.m.,15
Miércoles,3:00 a.m.,15
Miércoles,4:00 a.m.,14
Miércoles,5:00 a.m.,16
Miércoles,6:00 a.m.,20
Miércoles,7:00 a.m.,28
Miércoles,8:00 a.m.,30
Miércoles,9:00 a.m.,27
Miércoles,10:00 a.m.,25
Miércoles,11:00 a.m.,25
Miércoles,12:00 p.m.,24
Miércoles,1:00 p.m.,25
Miércoles,2:00 p.m.,24
Miércoles,3:00 p.m.,25
Miércoles,4:00 p.m.,26
Miércoles,5:00 p.m.,29
Miércoles,6:00 p.m.,33
Miércoles,7:00 p.m.,31
Miércoles,8:00 p.m.,26
Miércoles,9:00 p.m.,22
Miércoles,10:00 p.m.,20
Miércoles,11:00 p.m.,18
Jueves,12:00 a.m.,17
Jueves,1:00 a.m.,16
Jueves,2:00 a.m.,15
Jueves,3:00 a.m.,15
Jueves,4:00 a.m.,14
Jueves,5:00 a.m.,16
Jueves,6:00 a.m.,20
Jueves,7:00 a.m.,28
Jueves,8:00 a.m.,29
Jueves,9:00 a.m.,27
Jueves,10:00 a.m.,25
Jueves,11:00 a.m.,25
Jueves,12:00 p.m.,25
Jueves,1:00 p.m.,25
Jueves,2:00 p.m.,24
Jueves,3:00 p.m.,25
Jueves,4:00 p.m.,26
Jueves,5:00 p.m.,29
Jueves,6:00 p.m.,33
Jueves,7:00 p.m.,31
Jueves,8:00 p.m.,26
Jueves,9:00 p.m.,22
Jueves,10:00 p.m.,20
Jueves,11:00 p.m.,18
Viernes,12:00 a.m.,17
Viernes,1:00 a.m.,16
Viernes,2:00 a.m.,15
Viernes,3:00 a.m.,15
Viernes,4:00 a.m.,15
Viernes,5:00 a.m.,16
Viernes,6:00 a.m.,20
Viernes,7:00 a.m.,26
Viernes,8:00 a.m.,27
Viernes,9:00 a.m.,25
Viernes,10:00 a.m.,25
Viernes,11:00 a.m.,25
Viernes,12:00 p.m.,25
Viernes,1:00 p.m.,26
Viernes,2:00 p.m.,25
Viernes,3:00 p.m.,26
Viernes,4:00 p.m.,27
Viernes,5:00 p.m.,30
Viernes,6:00 p.m.,33
Viernes,7:00 p.m.,32
Viernes,8:00 p.m.,27
Viernes,9:00 p.m.,24
Viernes,10:00 p.m.,21
Viernes,11:00 p.m.,19
Sábado,12:00 a.m.,18
Sábado,1:00 a.m.,17
Sábado,2:00 a.m.,16
Sábado,3:00 a.m.,16
Sábado,4:00 a.m.,15
Sábado,5:00 a.m.,16
Sábado,6:00 a.m.,17
Sábado,7:00 a.m.,19
Sábado,8:00 a.m.,21
Sábado,9:00 a.m.,22
Sábado,10:00 a.m.,24
Sábado,11:00 a.m.,26
Sábado,12:00 p.m.,27
Sábado,1:00 p.m.,28
Sábado,2:00 p.m.,27
Sábado,3:00 p.m.,24
Sábado,4:00 p.m.,24
Sábado,5:00 p.m.,25
Sábado,6:00 p.m.,26
Sábado,7:00 p.m.,26
Sábado,8:00 p.m.,24
Sábado,9:00 p.m.,22
Sábado,10:00 p.m.,21
Sábado,11:00 p.m.,19