Año,Variación %
1991,2.242599593
1992,-15.79460039
1993,18.24387522
1994,26.42406393
1995,6.552855334
1996,9.801914651
1997,3.138975531
1998,0.577633296
1999,15.64142337
2000,9.698342745
2001,0.050319224
2002,6.57482219
2003,0.74319087
2004,-0.392485667
2005,7.618469241
2006,9.366034229
2007,0.373576642
2008,9.73119408
2009,-0.023494412
2010,2.644241856
2011,3.981510984
2012,8.660029409
2013,1.450303557
2014,0.372756225
2015,2.347760585
2016,1.823855139
2017,3.052783016
2018,9.079241735
2019,3.241911356
2020,2.818836704
2021,6.164945804
2022,5.762665798
2023,-4.083803331