Región,Combo de servicios,Zona
Tumbes,59.50156,Norte
Lambayeque,50.10482,Norte
La Libertad,47.2093,Norte
Promedio nacional,39.0928,Norte
Piura,34.07107,Norte
San Martín,22.82267,Norte
Cajamarca,16.87941,Norte
Amazonas,13.22314,Norte
Lima y Callao,93.83209,Centro
Ica,75.60074,Centro
Lima,53.49854,Centro
Áncash,46.40123,Centro
Promedio nacional,39.0928,Centro
Junín,36.32063,Centro
Huancavelica,23.99343,Centro
Huánuco,22.03742,Centro
Pasco,18.80932,Centro
Arequipa,72.94282,Sur
Tacna,66.37931,Sur
Moquegua,57.89474,Sur
Promedio nacional,39.0928,Sur
Cuzco,38.64875,Sur
Ayacucho,31.91312,Sur
Apurímac,26.95432,Sur
Puno,24.10164,Sur
Promedio nacional,39.0928,Oriente
Madre de Dios,25.69659,Oriente
Ucayali,7.808564,Oriente
Loreto,6.404901,Oriente