Género,Años,Estimado
Mujer,-5,0.0398
Mujer,-4,0.0217
Mujer,-3,0.0205
Mujer,-2,0
Mujer,-1,-0.0343
Mujer,0,-0.3999
Mujer,1,-0.3513
Mujer,2,-0.34
Mujer,3,-0.3285
Mujer,4,-0.3494
Mujer,5,-0.3794
Mujer,6,-0.3817
Mujer,7,-0.3985
Mujer,8,-0.4074
Mujer,9,-0.388
Mujer,10,-0.4121
Hombre,-5,-0.0125
Hombre,-4,-0.001
Hombre,-3,-0.01
Hombre,-2,0
Hombre,-1,-0.0009
Hombre,0,0.0477
Hombre,1,0.0369
Hombre,2,0.0382
Hombre,3,0.0323
Hombre,4,0.0262
Hombre,5,0.0284
Hombre,6,0.0229
Hombre,7,0.0155
Hombre,8,0.0197
Hombre,9,0.0152
Hombre,10,0.014